l1d_size,l1i_size,l2_size,Unrolling_Factor,Total_Memory,Cycles
4,32,1024,16,1060,59320809
4,32,1024,32,1060,59436009
4,64,128,2,196,59762518
4,64,128,4,196,59517055
4,64,128,8,196,59361405
4,64,128,16,196,59324001
4,64,128,32,196,59450900
4,64,256,2,324,59750158
4,64,256,4,324,59504227
4,64,256,8,324,59353424
4,64,256,16,324,59312036
4,64,256,32,324,59439788
4,64,512,2,580,59730777
4,64,512,4,580,59495857
4,64,512,8,580,59341961
4,64,512,16,580,59296463
4,64,512,32,580,59418870
4,64,1024,2,1092,59691127
4,64,1024,4,1092,59524482
4,64,1024,8,1092,59359987
4,64,1024,16,1092,59325540
4,64,1024,32,1092,59427789
8,2,128,2,138,59797356
8,2,128,4,138,59552648
8,2,128,8,138,59401233
8,2,128,16,138,64297289
8,2,128,32,138,65829403
8,2,256,2,266,59786780
8,2,256,4,266,59546298
8,2,256,8,266,59387997
8,2,256,16,266,64280135
8,2,256,32,266,65824756
8,2,512,2,522,59767334
8,2,512,4,522,59534039
8,2,512,8,522,59379604
8,2,512,16,522,64256299
8,2,512,32,522,65799875
8,2,1024,2,1034,59731337
8,2,1024,4,1034,59561853
8,2,1024,8,1034,59401975
8,2,1024,16,1034,64241065
8,2,1024,32,1034,65823241
8,4,128,2,140,59742718
8,4,128,4,140,59498104
8,4,128,8,140,59346633
8,4,128,16,140,59306255
8,4,128,32,140,64086431
8,4,256,2,268,59730058
8,4,256,4,268,59490318
8,4,256,8,268,59333327
8,4,256,16,268,59292943
8,4,256,32,268,64076065
8,4,512,2,524,59712686
8,4,512,4,524,59479206
8,4,512,8,524,59324889
8,4,512,16,524,59280220
8,4,512,32,524,64059356
8,4,1024,2,1036,59676765
8,4,1024,4,1036,59507325
8,4,1024,8,1036,59347447
8,4,1024,16,1036,59303967
8,4,1024,32,1036,64074929
8,8,128,2,144,59742654
8,8,128,4,144,59499299
8,8,128,8,144,59343390
8,8,128,16,144,59303611
8,8,128,32,144,59374740
8,8,256,2,272,59721988
8,8,256,4,272,59482186
8,8,256,8,272,59325316
8,8,256,16,272,59285157
8,8,256,32,272,59359562
8,8,512,2,528,59702601
8,8,512,4,528,59465229
8,8,512,8,528,59312971
8,8,512,16,528,59273459
8,8,512,32,528,59349827
8,8,1024,2,1040,59666860
8,8,1024,4,1040,59499316
8,8,1024,8,1040,59339383
8,8,1024,16,1040,59295853
8,8,1024,32,1040,59368201
8,16,128,2,152,59726775
8,16,128,4,152,59482031
8,16,128,8,152,59330649
8,16,128,16,152,59290447
8,16,128,32,152,59354316
8,16,256,2,280,59714011
8,16,256,4,280,59474245
8,16,256,8,280,59317387
8,16,256,16,280,59277220
8,16,256,32,280,59349791
8,16,512,2,536,59696868
8,16,512,4,536,59463287
8,16,512,8,536,59309126
8,16,512,16,536,59265527
8,16,512,32,536,59329665
8,16,1024,2,1048,59656734
8,16,1024,4,1048,59494432
8,16,1024,8,1048,59329177
8,16,1024,16,1048,59292280
8,16,1024,32,1048,59357991
8,32,128,2,168,59726563
8,32,128,4,168,59483297
8,32,128,8,168,59327375
8,32,128,16,168,59287489
8,32,128,32,168,59354316
8,32,256,2,296,59712122
8,32,256,4,296,59467725
8,32,256,8,296,59313258
8,32,256,16,296,59273425
8,32,256,32,296,59341113
8,32,512,2,552,59687543
8,32,512,4,552,59455117
8,32,512,8,552,59302182
8,32,512,16,552,59258325
8,32,512,32,552,59328618
8,32,1024,2,1064,59654257
8,32,1024,4,1064,59491101
8,32,1024,8,1064,59328778
8,32,1024,16,1064,59284136
8,32,1024,32,1064,59350935
8,64,128,2,200,59723006
8,64,128,4,200,59474739
8,64,128,8,200,59321717
8,64,128,16,200,59285006
8,64,128,32,200,59351330
8,64,256,2,328,59711179
8,64,256,4,328,59466953
8,64,256,8,328,59312290
8,64,256,16,328,59272720
8,64,256,32,328,59339496
8,64,512,2,584,59691127
8,64,512,4,584,59456771
8,64,512,8,584,59299760
8,64,512,16,584,59259316
8,64,512,32,584,59334057
8,64,1024,2,1096,59655224
8,64,1024,4,1096,59485331
8,64,1024,8,1096,59324404
8,64,1024,16,1096,59278823
8,64,1024,32,1096,59350693
16,2,128,2,146,42844925
16,2,128,4,146,42657709
16,2,128,8,146,42458529
16,2,128,16,146,47391946
16,2,128,32,146,49055868
16,2,256,2,274,42838802
16,2,256,4,274,42645392
16,2,256,8,274,42448111
16,2,256,16,274,47374537
16,2,256,32,274,49044099
16,2,512,2,530,42779409
16,2,512,4,530,42595738
16,2,512,8,530,42402515
16,2,512,16,530,47319534
16,2,512,32,530,49027002
16,2,1024,2,1042,42816307
16,2,1024,4,1042,42628227
16,2,1024,8,1042,42444974
16,2,1024,16,1042,47321641
16,2,1024,32,1042,49003668
16,4,128,2,148,42790248
16,4,128,4,148,42602957
16,4,128,8,148,42403929
16,4,128,16,148,42402153
