Total_Memory,Cycles
548,42378295
548,42169681
548,42012301
548,41951991
548,46789940
1060,42399907
1060,42197395
1060,42046871
1060,41973020
1060,46799958
168,42393468
168,42191878
168,42029883
168,41964864
168,42128576
296,42381524
296,42175825
296,42020020
296,41953766
296,42104367
552,42371944
552,42165588
552,42000153
552,41945788
552,42092003
1064,42399692
1064,42192908
1064,42054657
1064,41970949
1064,42117561
176,42385030
176,42182319
176,42024029
176,41957233
176,42126069
304,42374223
304,42172851
304,42000910
304,41945979
304,42102944
560,42343362
560,42153793
560,41988993
560,41936624
560,42085053
1072,42389796
1072,42184026
1072,42037745
1072,41957828
1072,42101718
192,42383027
192,42179567
192,42009556
192,41954417
192,42109560
320,42370791
320,42166564
320,42007468
320,41942976
320,42102553
576,42357850
576,42152331
576,41986213
576,41931540
576,42082181
1088,42387372
1088,42179994
1088,42037279
1088,41955611
1088,42109505
224,42378399
224,42174319
224,42012260
224,41949258
224,42108525
352,42367136
352,42164278
352,42001378
352,41940074
352,42105232
608,42342277
608,42152406
608,41987785
608,41935370
608,42075287
1120,42372847
1120,42181454
1120,42035919
1120,41955365
1120,42109020
194,42709850
194,42517309
194,42356329
194,47233885
194,48803767
322,42438973
322,42235460
322,42075097
322,46955841
322,48671247
578,42432188
578,42221205
578,42058353
578,46963231
578,48653945
1090,42458154
1090,42253168
1090,42107925
1090,46981418
1090,48619104
196,42640321
196,42444108
196,42289880
196,42227649
196,46951054
324,42386072
324,42184799
324,42020089
324,41957094
324,46805512
580,42375826
580,42169796
580,42003825
580,41951823
580,46792292
1092,42399907
1092,42197395
1092,42046871
1092,41973020
1092,46799958
200,42651407
200,42454685
200,42298706
200,42225799
200,42278591
328,42384152
328,42178488
328,42019742
328,41955112
328,42112154
584,42370512
584,42163448
584,41998921
584,41943958
584,42094202
1096,42399692
1096,42192908
1096,42054657
1096,41970949
1096,42111034
208,42628048
208,42422768
208,42272378
208,42209115
208,42266129
336,42368411
336,42165127
336,41997062
336,41941128
336,42102553
592,42343362
592,42153793
592,41988993
592,41936624
592,42090167
1104,42341296
1104,42177031
1104,42034247
1104,41952687
1104,42100209
224,42623053
224,42430990
224,42269795
224,42208417
224,42254518
352,42362642
352,42157281
352,41996330
352,41934295
352,42101718
608,42343078
608,42153406
608,41988437
608,41936237
608,42072819
1120,42383733
1120,42176836
1120,42036622
1120,41956115
1120,42094764
256,42618831
256,42422665
256,42263570
256,42202926
256,42253077
384,42360329
384,42156017
384,41994243
384,41931372
384,42089619
640,42355049
640,42146338
640,41986269
640,41930407
640,42089879
1152,42382922
1152,42178152
1152,42033122
1152,41953281
1152,42097211
